year,Site,scientific,Abun_mean,Abun_sd
2019,PGN1,Odax cyanomelas,0,0
2019,PGN1,Parma mccullochi,0,0
2019,PGN1,Parma occidentalis,2.75,1.982062418
2019,PGN1,Pomacentrus sp,0.625,1.095941128
2019,PGN1,Scarus sp,2.5,2.672612419
2019,PGN1,Siganus fuscescens,0,0
2019,PGN2,Acanthurus grammoptilus,0,0
2019,PGN2,Kyphosus cornelii,3.555555556,2.505549396
2019,PGN2,Kyphosus sp,0,0
2019,PGN2,Odax cyanomelas,0,0
2019,PGN2,Parma mccullochi,0.222222222,0.666666667
2019,PGN2,Parma occidentalis,1.444444444,0.881917104
2019,PGN2,Pomacentrus sp,0.555555556,1.154700538
2019,PGN2,Scarus sp,1.333333333,1.322875656
2019,PGN2,Siganus fuscescens,0,0
2019,PGS2,Acanthurus grammoptilus,0,0
2019,PGS2,Kyphosus cornelii,4.625,3.739270364
2019,PGS2,Kyphosus sp,0,0
2019,PGS2,Odax cyanomelas,0,0
2019,PGS2,Parma mccullochi,0.25,0.46291005
2019,PGS2,Parma occidentalis,1.75,1.281739889
2019,PGS2,Pomacentrus sp,4.041666667,4.505833578
2019,PGS2,Scarus sp,1.625,1.302470181
2019,PGS2,Siganus fuscescens,0,0
2019,PGS3,Acanthurus grammoptilus,0.125,0.353553391
2019,PGS3,Kyphosus cornelii,1.25,1.908627031
2019,PGS3,Kyphosus sp,0.125,0.353553391
2019,PGS3,Odax cyanomelas,0,0
2019,PGS3,Parma mccullochi,0.375,1.060660172
2019,PGS3,Parma occidentalis,1.25,1.38873015
2019,PGS3,Pomacentrus sp,2.208333333,2.484371439
2019,PGS3,Scarus sp,0.625,0.744023809
2019,PGS3,Siganus fuscescens,0,0
